"AU","DT","TC"
"PALMER KA;OLDROYD BP","ARTICLE",208
"GRUETER C;MENEZES C;IMPERATRIZ-FONSECA V;L. L;RATNIEKS FLW","ARTICLE",110
"OXLEY PR;SPIVAK M;OLDROYD BP","ARTICLE",96
"HOLBROOK CT;BARDEN PM;FEWELL JH","ARTICLE",95
"MARES S;ASH L;GRONENBERG W","ARTICLE",94
"BRUINTJES R;TABORSKY M","ARTICLE",89
"TENCZAR P;LUTZ CC;RAO VD;GOLDENFELD;NIGEL N;ROBINSON GE","ARTICLE",89
"ANGULO E;LUQUE GM;GREGORY SD;WENZEL;JOHN W. JW;BESSA-GOMES C;BEREC L;COURCHAMP F","REVIEW",77
"O'DONNELL S","ARTICLE",69
"ZOTTL M;VULLIOUD P;MENDONCA R;TICO M;TORRENTS T;GAYNOR D;MITCHELL A;CLUTTON-BROCK T","ARTICLE",67
